CampaignID,Industry,Campaign Type,Spend,Displays,Clicks,Orders,Sales,CampaignDuration,CTR,CR,AOV,CPC,CPO,ROI
272,Industry A,Type B,68685.33,85548,1120,110,14469.19,62,0.013092065273296863,0.09821428571428571,131.53809090909093,61.3261875,624.4120909090909,0.2106591028972271
98,Industry B,Type B,423139.0,357790,7089,700,130173.96,120,0.019813298303474104,0.09874453378473691,185.96280000000002,59.68951897305685,604.4842857142858,0.307638766457358
138,Industry A,Type B,33599.28,60803,548,146,17509.08,12,0.009012713188493988,0.2664233576642336,119.92520547945206,61.31255474452554,230.13205479452054,0.521114738172961
23,Industry B,Type B,280598.21,418176,7991,794,362821.02,91,0.019109178910315276,0.09936178200475534,456.95342569269525,35.114279814791644,353.3982493702771,1.2930268514542556
42,Industry B,Type A,291678.25,326292,32149,3211,2907798.19,72,0.0985283120640408,0.09987868985038414,905.574023668639,9.072700550561448,90.83720024914356,9.969197874712975
166,Industry A,Type B,48823.96,51013,1062,265,17720.32,107,0.020818222805951424,0.2495291902071563,66.8691320754717,45.97359698681733,184.24135849056603,0.36294311235712956
253,Industry A,Type A,26794.0,19202,2305,548,110563.33,81,0.1200395792104989,0.23774403470715835,201.75790145985403,11.624295010845987,48.894160583941606,4.12642121370456
43,Industry B,Type A,23745.28,42344,3645,377,479398.19,115,0.08608067258643491,0.10342935528120713,1271.6132360742706,6.5144801097393685,62.98482758620689,20.189199285078974
406,Industry A,Type B,66753.03,119129,2277,469,72941.24,58,0.019113733851539087,0.2059727711901625,155.52503198294244,29.316218708827403,142.33055437100214,1.0927030578237424
129,Industry A,Type A,23992.66,43578,4721,531,85458.58,38,0.10833448070127129,0.11247617030290193,160.93894538606403,5.082113958907011,45.183917137476456,3.5618635032547457
421,Industry A,Type B,1324.18,854,744,182,14001.26,117,0.8711943793911007,0.2446236559139785,76.93,1.7798118279569892,7.275714285714286,10.573532299234243
26,Industry B,Type A,38715.55,59504,5151,511,630281.69,117,0.08656560903468674,0.0992040380508639,1233.427964774951,7.5161230828965255,75.76428571428572,16.27980720924796
376,Industry A,Type B,25410.7,28617,283,78,11487.49,110,0.009889226683439913,0.2756183745583039,147.27551282051283,89.7904593639576,325.7782051282051,0.4520729456488802
430,Industry A,Type A,44066.26,74781,8001,1382,221122.48,27,0.10699241786015164,0.1727284089488814,160.0017945007236,5.507594050743657,31.885861070911723,5.017954326053538
468,Industry A,Type A,71668.36,75210,6553,989,99983.04,33,0.08712937109426938,0.15092324126354342,101.09508594539939,10.936725164047001,72.46548028311426,1.3950792232443996
176,Industry A,Type B,40990.77,24258,1248,283,14412.28,63,0.05144694533762058,0.2267628205128205,50.92678445229682,32.84516826923077,144.8437102473498,0.35159817685786343
279,Industry A,Type A,23257.62,24409,3286,977,50922.67,68,0.13462247531648164,0.2973219720024346,52.1214636642784,7.077790626902008,23.80513817809621,2.1895047730593244
358,Industry A,Type A,20101.85,18798,1323,228,23530.46,107,0.07037982764123843,0.17233560090702948,103.20377192982455,15.194142101284957,88.16600877192982,1.1705619134557268
147,Industry A,Type A,33264.47,44818,3764,1073,90294.83,74,0.08398411352581552,0.28506907545164717,84.15175209692451,8.837531880977684,31.001369990680338,2.714452687807742
357,Industry A,Type A,17761.69,17235,826,229,20324.26,116,0.047925732521032785,0.2772397094430993,88.7522270742358,21.50325665859564,77.56196506550218,1.144275122468639
285,Industry A,Type A,51532.32,59833,5196,1257,229103.66,104,0.08684170942456504,0.24191685912240185,182.26225934765316,9.91769053117783,40.996276849642,4.445824678570652
252,Industry A,Type B,51627.8,77126,1651,325,18715.48,54,0.0214065295749812,0.1968503937007874,57.586092307692304,31.270623864324655,158.85476923076925,0.3625077961873254
402,Industry A,Type A,81769.04,134509,13876,3869,605524.12,17,0.10316038332007524,0.27882675122513695,156.50662186611527,5.892839434995675,21.134411992762985,7.405298142181931
